sequence,frame,event_type,count
02,0,fragmented_gt_track,2
02,57,id_switch,2
02,58,id_switch,1
02,59,id_switch,1
02,60,id_switch,1
02,61,id_switch,1
02,62,id_switch,1
02,63,id_switch,1
02,64,id_switch,1
02,65,id_switch,2
02,66,id_switch,1
02,67,id_switch,1
02,68,id_switch,1
02,69,id_switch,1
02,70,id_switch,1
02,71,id_switch,1
02,72,id_switch,1
02,73,id_switch,1
02,74,id_switch,1
02,75,id_switch,1
02,76,id_switch,1
02,77,id_switch,1
02,78,id_switch,1
02,79,id_switch,1
02,80,id_switch,1
02,81,id_switch,1
02,82,id_switch,1
02,83,id_switch,1
02,84,id_switch,1
02,85,id_switch,1
02,86,id_switch,1
02,87,id_switch,1
02,88,id_switch,1
02,89,id_switch,1
02,90,id_switch,1
02,91,id_switch,1
02,92,id_switch,1
02,93,id_switch,1
02,94,id_switch,1
02,95,id_switch,1
02,96,id_switch,1
02,97,id_switch,1
02,98,id_switch,1
02,99,id_switch,1
02,100,id_switch,1
02,101,id_switch,1
02,102,id_switch,1
02,103,id_switch,1
02,104,id_switch,1
02,105,id_switch,1
02,106,id_switch,1
02,107,id_switch,1
02,108,id_switch,1
02,109,id_switch,1
02,110,id_switch,1
02,111,id_switch,1
02,112,id_switch,1
02,113,id_switch,1
02,114,id_switch,1
02,115,id_switch,1
02,116,id_switch,1
02,117,id_switch,1
02,118,id_switch,1
02,141,fragmented_gt_track,2
02,149,fragmented_gt_track,2
02,153,id_switch,2
02,154,id_switch,2
02,155,id_switch,1
02,156,id_switch,1
02,157,id_switch,1
02,158,id_switch,3
02,159,id_switch,2
02,160,id_switch,2
02,161,id_switch,2
02,162,id_switch,2
02,163,id_switch,2
02,164,id_switch,4
02,165,id_switch,3
02,166,id_switch,2
02,167,id_switch,3
02,168,id_switch,2
02,169,id_switch,2
02,170,id_switch,2
02,171,id_switch,2
02,172,id_switch,3
02,173,id_switch,2
02,174,id_switch,3
02,175,id_switch,2
02,176,id_switch,3
02,177,id_switch,2
02,178,id_switch,3
02,179,id_switch,2
02,180,id_switch,3
02,181,id_switch,1
02,182,id_switch,1
02,183,id_switch,1
02,184,id_switch,1
02,185,id_switch,1
02,186,id_switch,1
02,187,id_switch,1
02,188,id_switch,1
02,189,id_switch,1
02,190,id_switch,1
02,191,id_switch,1
02,192,id_switch,1
02,193,id_switch,1
02,194,id_switch,1
02,195,id_switch,1
02,210,id_switch,2
02,211,id_switch,1
02,212,id_switch,1
02,213,id_switch,1
02,214,id_switch,1
02,215,id_switch,1
02,216,id_switch,1
02,217,id_switch,1
02,218,id_switch,1
02,219,id_switch,1
02,220,id_switch,1
02,221,id_switch,1
02,222,id_switch,1
02,223,id_switch,2
02,224,id_switch,1
02,225,id_switch,1
02,226,id_switch,1
02,227,id_switch,1
02,228,id_switch,2
02,229,id_switch,1
02,230,id_switch,1
02,231,id_switch,3
02,232,id_switch,1
02,233,id_switch,4
02,234,id_switch,2
02,235,id_switch,2
02,236,id_switch,2
02,237,id_switch,2
02,238,id_switch,2
02,239,id_switch,2
02,240,id_switch,3
02,241,id_switch,2
02,242,id_switch,2
02,243,id_switch,3
02,244,id_switch,2
02,245,id_switch,2
02,246,id_switch,2
02,247,id_switch,2
02,248,id_switch,2
02,249,id_switch,3
02,250,id_switch,2
02,251,id_switch,2
02,252,id_switch,2
02,253,id_switch,3
02,254,id_switch,2
02,255,id_switch,2
02,256,id_switch,2
02,257,id_switch,2
02,258,id_switch,2
02,259,id_switch,2
02,260,id_switch,2
02,261,id_switch,2
02,262,id_switch,2
02,263,id_switch,2
02,264,id_switch,2
02,265,id_switch,2
02,266,id_switch,2
02,267,id_switch,3
02,268,id_switch,1
02,269,id_switch,1
02,270,id_switch,1
02,271,id_switch,1
02,272,id_switch,1
02,273,id_switch,1
02,274,id_switch,1
02,275,id_switch,1
