sequence,track,event_type,count
02,1,fragmented_gt_track,1
02,1,id_switch,55
02,10,fragmented_gt_track,1
02,10,id_switch,128
02,10,wrong_division_parent,1
02,106,fragmented_gt_track,1
02,106,id_switch,84
02,107,fragmented_gt_track,1
02,107,id_switch,105
02,107,wrong_division_parent,1
02,108,fragmented_gt_track,1
02,108,id_switch,38
02,108,wrong_division_parent,1
02,11,fragmented_gt_track,1
02,11,id_switch,2
02,11,wrong_division_parent,1
02,110,fragmented_gt_track,1
02,110,id_switch,192
02,111,fragmented_gt_track,1
02,111,id_switch,62
02,112,fragmented_gt_track,1
02,112,id_switch,51
02,113,fragmented_gt_track,1
02,113,id_switch,65
02,114,fragmented_gt_track,1
02,114,id_switch,119
02,116,fragmented_gt_track,1
02,116,id_switch,47
02,118,fragmented_gt_track,1
02,118,id_switch,101
02,119,fragmented_gt_track,1
02,119,id_switch,94
02,120,fragmented_gt_track,1
02,120,id_switch,97
02,120,wrong_division_parent,1
02,123,fragmented_gt_track,1
02,123,id_switch,34
02,123,missed_gt_object,1
02,123,one_gt_to_many_results_split,1
02,123,wrong_division_parent,1
02,125,fragmented_gt_track,1
02,125,id_switch,68
02,125,wrong_division_parent,1
02,126,fragmented_gt_track,1
02,126,id_switch,35
02,126,wrong_division_parent,1
02,128,fragmented_gt_track,1
02,128,id_switch,68
02,128,wrong_division_parent,1
02,129,fragmented_gt_track,1
02,129,id_switch,28
02,129,wrong_division_parent,1
02,13,fragmented_gt_track,1
02,13,id_switch,59
02,130,fragmented_gt_track,1
02,130,id_switch,82
02,132,fragmented_gt_track,1
02,132,id_switch,30
02,133,fragmented_gt_track,1
02,133,id_switch,29
02,133,wrong_division_parent,1
02,135,fragmented_gt_track,1
02,135,id_switch,90
02,135,wrong_division_parent,1
02,137,fragmented_gt_track,1
02,137,id_switch,137
02,138,fragmented_gt_track,1
02,138,id_switch,56
02,139,fragmented_gt_track,1
02,139,id_switch,69
02,139,missed_gt_object,1
02,14,fragmented_gt_track,1
02,14,id_switch,150
02,142,fragmented_gt_track,1
02,142,id_switch,50
02,144,fragmented_gt_track,1
02,144,id_switch,94
02,144,wrong_division_parent,1
